"FTVFUND_GRNT_CODE","FTVFUND_FUND_CODE","UI_INDEX"
"AP7950","227950","870ZWI"
"AP7951","227951","870ZWH"
"AP7953","227953","870ZWN"
"AP7954","227954","870ZWL"
"AP7955","227955","846ZZQ"
"AP7955","227956","870ZWT"
"AP7955","227957","870ZWS"
"AP7958","227958","870ZWU"
"AP7959","227959","870ZX3"
"AP7960","227960","870ZWP"
"AP7960","227961","870ZWO"
"AP7962","227962","870ZX1"
"AP7963","227963","870ZX0"
"AP7964","227964","870ZX2"
"AP7965","227965","870ZX4"
"AP8005","228005","870ZWD"
"AP8016","228016","870ZW4"
"AP8018","228018","870ZWR"
"AP8021","228021","870ZWJ"
"AP8022","228022","870ZWK"
"AP8023","228023","870ZWG"
"AP8023","228024","870ZWF"
"AP8023","228025","870ZWE"
"AP8026","228026","780769"
"AP8026","228026","870ZW7"
"AP8027","228027","870ZWC"
"AP8028","228028","870ZWB"
"AP8028","228029","870ZWA"
"AP8031","228031","870ZW9"
"AP8032","228032","870ZW8"
"AP8061","228061","870ZW3"
"AP8061","228062","826553"
"AP8079","228079","870ZW1"
"AP8079C","228080","870ZVQ"
"AP8103","228103","870ZVR"
"AP8103","228104","870ZVT"
"AP8103","228105","870ZVS"
"AP8114","228114","870ZVP"
"AP8134","228134","870ZVM"
"AP8138","228138","870ZVK"
"AP8138","228141","870ZVL"
"AP8139","228139","870ZVB"
"AP8163","228163","870ZVI"
"AP8165","228165","870ZV6"
"AP8172","228172","870ZVJ"
"AP8177","228177","870ZVE"
"AP8189","228189","870ZVF"
"AP8192","228192","870ZVD"
"AP8193","228193","870ZVH"
"AP8212","228212","870ZV8"
"AP8212C","228213","870ZUS"
"AP8223","228223","870ZVC"
"AP8230","228230","870ZVA"
"AP8231","228231","870ZV3"
"AP8231","228232","870ZV4"
"AP8262","228262","870ZTV"
"AP8314","228314","870ZV9"
"AP8331","228331","870ZV7"
"AP8397","228397","870ZV5"
"AP8400","228400","870ZV2"
"AP8400","228401","848544"
"AP8400","228402","870ZV1"
"AP8400","228403","870ZV0"
"AP8499","228499","870ZTW"
"AP8542","228542","870ZTX"
"AP8587","228587","870ZTT"
"AP8591","228591","870ZTB"
"AP8594","228594","870ZTU"
"AP8609","228609","870ZSW"
"AP8626","228626","870ZSM"
"AP8627","228627","870ZSS"
"AP8627","228628","870ZSR"
"AP8629","228629","870ZSP"
"AP8630","228630","870ZSO"
"AP8631","228631","870ZSN"
"AP8635","228635","870ZTI"
"AP8637","228637","870ZTM"
"AP8649","228649","870ZTS"
"AP8649","228667","870ZTR"
"AP8651","228651","870ZTL"
"AP8651","228661","870ZTK"
"AP8651","228662","870ZTJ"
